date,county,state,vehicle_primary_use,battery_electric_vehicles_bevs_,plug_in_hybrid_electric_vehicles_phevs_,electric_vehicle_ev_total,non_electric_vehicles,total_vehicles,percent_electric_vehicles
2020-06-30T00:00:00.000,Juneau,AK,Passenger,0,2,2,28,30,6.666666666666666
2020-06-30T00:00:00.000,Lee,FL,Passenger,1,0,1,45,46,2.1739130434782608
2020-06-30T00:00:00.000,Maui,HI,Passenger,1,0,1,31,32,3.125
2020-06-30T00:00:00.000,Middlesex,MA,Passenger,1,1,2,99,101,1.98019801980198
2020-05-31T00:00:00.000,Jones,GA,Passenger,1,0,1,1,2,50.0
2020-05-31T00:00:00.000,Kern,CA,Passenger,0,1,1,226,227,0.4405286343612334
2020-05-31T00:00:00.000,Kitsap,WA,Passenger,1313,678,1991,179673,181664,1.0959793905231636
2020-05-31T00:00:00.000,Klickitat,WA,Truck,0,0,0,8121,8121,0.0
2020-05-31T00:00:00.000,Manassas,VA,Passenger,0,1,1,4,5,20.0
2020-04-30T00:00:00.000,Sedgwick,KS,Passenger,1,1,2,90,92,2.1739130434782608
2020-04-30T00:00:00.000,Skagit,WA,Passenger,397,215,612,91487,92099,0.6645023290155159
2020-04-30T00:00:00.000,St. Mary's,MD,Passenger,1,0,1,216,217,0.4608294930875576
2020-04-30T00:00:00.000,Thurston,WA,Passenger,1142,729,1871,197530,199401,0.938310239166303
2020-04-30T00:00:00.000,Washington,OR,Passenger,1,0,1,435,436,0.2293577981651376
2020-03-31T00:00:00.000,Whatcom,WA,Truck,3,0,3,43031,43034,0.0069712320490774
2020-03-31T00:00:00.000,Yakima,WA,Truck,0,0,0,59604,59604,0.0
2020-04-30T00:00:00.000,Asotin,WA,Passenger,16,12,28,12446,12474,0.2244668911335578
2020-04-30T00:00:00.000,Boone,MO,Passenger,0,1,1,13,14,7.142857142857143
2020-04-30T00:00:00.000,Broward,FL,Passenger,3,1,4,112,116,3.4482758620689653
2020-04-30T00:00:00.000,Camden,NJ,Passenger,0,2,2,21,23,8.695652173913043
2020-07-31T00:00:00.000,Middlesex,MA,Passenger,1,1,2,96,98,2.040816326530612
2020-07-31T00:00:00.000,Monroe,IL,Passenger,1,0,1,4,5,20.0
2020-07-31T00:00:00.000,Montgomery,OH,Passenger,0,1,1,47,48,2.083333333333333
2020-07-31T00:00:00.000,Moore,NC,Passenger,0,2,2,158,160,1.25
2020-07-31T00:00:00.000,Okaloosa,FL,Passenger,0,1,1,138,139,0.7194244604316546
2020-07-31T00:00:00.000,Pima,AZ,Passenger,3,1,4,338,342,1.1695906432748537
2020-07-31T00:00:00.000,Pinellas,FL,Passenger,1,1,2,106,108,1.851851851851852
2020-07-31T00:00:00.000,Polk,FL,Passenger,1,0,1,65,66,1.5151515151515151
2020-03-31T00:00:00.000,Grant,WA,Passenger,58,71,129,65497,65626,0.196568433242922
2020-03-31T00:00:00.000,Grant,WA,Truck,0,0,0,27058,27058,0.0
2020-03-31T00:00:00.000,Grays Harbor,WA,Truck,0,0,0,20785,20785,0.0
2020-03-31T00:00:00.000,Juneau,AK,Passenger,0,2,2,31,33,6.0606060606060606
2020-03-31T00:00:00.000,Lee,FL,Passenger,1,0,1,47,48,2.083333333333333
2020-04-30T00:00:00.000,Howard,MD,Passenger,0,1,1,71,72,1.3888888888888888
2020-04-30T00:00:00.000,Kern,CA,Passenger,0,1,1,226,227,0.4405286343612334
2020-04-30T00:00:00.000,Kitsap,WA,Passenger,1313,676,1989,180585,182574,1.0894212757566795
2020-04-30T00:00:00.000,Kittitas,WA,Passenger,101,49,150,29860,30010,0.4998333888703765
2020-04-30T00:00:00.000,Kittitas,WA,Truck,0,0,0,14590,14590,0.0
2020-04-30T00:00:00.000,Klamath,OR,Passenger,1,0,1,31,32,3.125
2020-04-30T00:00:00.000,Larimer,CO,Passenger,1,0,1,52,53,1.8867924528301887
2020-04-30T00:00:00.000,Lincoln,WA,Passenger,4,12,16,7682,7698,0.2078461938165757
2020-04-30T00:00:00.000,Loudoun,VA,Passenger,1,0,1,89,90,1.1111111111111112
2020-05-31T00:00:00.000,Bexar,TX,Passenger,2,5,7,601,608,1.1513157894736843
2020-05-31T00:00:00.000,Chesapeake,VA,Passenger,0,2,2,424,426,0.4694835680751173
2020-06-30T00:00:00.000,Chelan,WA,Truck,0,0,0,22521,22521,0.0
2020-06-30T00:00:00.000,Cowlitz,WA,Passenger,138,115,253,72330,72583,0.3485664687323477
2020-06-30T00:00:00.000,El Paso,TX,Passenger,3,0,3,420,423,0.7092198581560283
2020-06-30T00:00:00.000,Flathead,MT,Passenger,1,0,1,58,59,1.694915254237288
2020-06-30T00:00:00.000,Fort Bend,TX,Passenger,1,0,1,47,48,2.083333333333333
2020-06-30T00:00:00.000,Garfield,WA,Truck,0,0,0,974,974,0.0
2020-04-30T00:00:00.000,Douglas,WA,Truck,0,0,0,12269,12269,0.0
2020-04-30T00:00:00.000,DuPage,IL,Passenger,3,0,3,56,59,5.084745762711864
2020-04-30T00:00:00.000,El Paso,CO,Passenger,2,0,2,720,722,0.2770083102493074
2020-03-31T00:00:00.000,Maui,HI,Passenger,1,0,1,34,35,2.8571428571428568
2020-03-31T00:00:00.000,Middlesex,MA,Passenger,1,1,2,107,109,1.8348623853211008
2020-03-31T00:00:00.000,New Haven,CT,Passenger,0,2,2,41,43,4.651162790697674
2020-05-31T00:00:00.000,Montgomery,TX,Passenger,1,0,1,52,53,1.8867924528301887
2020-05-31T00:00:00.000,New London,CT,Passenger,1,2,3,254,257,1.1673151750972761
2020-05-31T00:00:00.000,Orange,CA,Passenger,7,2,9,493,502,1.792828685258964
